( hin_0001 " aapakei hindii pasanda karanei para khushii huii ") 
( hin_0002 " saatha hii mainei leikha para kuchha badalaava kiei hai aapakii t:ippand~ii milei too achchhaa raheigaa ") 
( hin_0003 " aapasei apeikshhaa hai ki bhavishhya mein: isa prakaara kei aura bhii leikha aapasei praapta hoon:gei ") 
( hin_0004 " unakaa rachita kaavya san:graha hrxdaya gan:gaa nau bhaashhaaoon: mein: prakaashita hoo chukaa hai ") 
( hin_0005 " main: aajakala nimnalikhita prxshht:hoon: para kaama kara rahaa huuna ") 
( hin_0006 " shariira mein: pitta agni kaa pratinidhi hai ") 
( hin_0007 " unakei vishaala leikhana kaarya kaa saahityika aura yuuroopiiya darshana para gahana prabhaava pad:aa hai ") 
( hin_0008 " isa leikha para magara kaaphii baatei aisii jinakaa pramaand~a leikha para diyaa jaanaa aavashyaka hai ") 
( hin_0009 " tarii mii tan:va sakala deihiin: ") 
( hin_0010 " hooihi kaaju moohi harashha biseishhii ") 
( hin_0011 " paan:cha tatva hain: mit:t:ii aakaasha jala agni aura vaayu ") 
( hin_0012 " yaha leikha dillii kaa laala kilaa kei baarei mein: hai ") 
( hin_0013 " too yoogadaana karanei vaaloo koo joo sahii samajha mei aataa hai likha diyaa jaataa hai ") 
( hin_0014 " d:aakt:ar pat:eila aapakei hoolii sei san:ban:dhita leikha kei liei dhanyavaada ") 
( hin_0015 " san:gha eivan: raajyoon: sei san:ban:dhita vishhayoon: kaa phaisalaa uchcha nyaayaalaya dvaaraa kiyaa jaataa hai ") 
( hin_0016 " o~st:reiliyaa kei kheila kei liei khoojein: ") 
( hin_0017 " main:nei paryat:ana bhuugoola para aapakaa leikha pad:haa bahuta achchhaa leikha hai ") 
( hin_0018 " uurjaa kei sroota kei liei khoojein: ") 
( hin_0019 " kamala bhaaratavarshha kaa raashht:riiya pushhpa hai ") 
( hin_0020 " yaha eishiyaa kii sabasei bang~ii aavaasiiya kaaloonii kahalaatii hai ") 
( hin_0021 " eika maanava kriyaa kei ruupa mei yei vijnj~aana aura abhiyaan:trikii sei puraatana hai ") 
( hin_0022 " raajya kaa nirmaand~a kii varshha kei aandoolana kei pashchaata huaa ") 
( hin_0023 " guru sikha deii raaya pahin: gayu ") 
( hin_0024 " mujhei niran:tara kii jaanakaarii achchhii lagii ") 
( hin_0025 " puurnd~imaa jii dhanyavaada sujhaava kei liei ") 
